Name,Full Address,Phone,Website,Email,Category - Bar/Restaurant / Wholesaler / Hotel / Retail Shop
DrinksOne ,"Registered office: 33 Chertsey Road, Woking GU21 5AJ. ",,https://drinksone.com/,,Wholesaler / Distributor
Bottle House Dulwich,"79 Lordship Lane, Dulwich, London SE22 8EP ",,https://bottlehousedulwich.wordpress.com/ ,,Retail 
Doppo Soho,"33 Dean Street, London W1D 4PW ",,https://doppo.res-menu.net/ ,,Restaurant
Clapton Craft ,"97 Lower Clapton Road, London E5 0NP ",,https://www.claptoncraft.co.uk/ ,,Retail 
The Larder Deli,"71 Ladywell Road, London SE13 7JA ",,https://thelarderdeli.com/ ,,Retail 
Schofield’s Bar,"Sunlight House, 3 Little Quay Street, Manchester M3 3JZ ",,https://www.schofieldsbar.com/ ,,Bar
Atomeca ,"Unit G21, The Avenue Spinningfields, Manchester M3 3HF. ",,https://atomeca.co.uk/,,Restaurant
Venus,"Venus House, Unit 3, 62 Garman Road, London N17 0UT",,https://www.venusplc.com,,Wholesaler / Distributor
Champers  Ltd,"263 Water Road, Abbeydale Industrial Estate, Wembley, Middlesex HA0 1HX",,https://champerswholesale.com/,,Wholesaler
Fern Restaurant ,"7 High Street East, Uppingham, Rutland LE15 9PY",,https://www.falcon-hotel.co.uk,,Restaurant 
Davy’s Wine Merchants,"161–165 Greenwich High Road, London SE10 8JA ",,https://www.davywine.co.uk/ ,,Retail 
Vermuteria ,"38/39 Coal Drops Yard, London N1C 4DQ ",,https://vermuteria.cc/ ,,Bar
Sterling Bar ,"The Stock Exchange, 4 Norfolk Street, Manchester M2 1DW",,https://www.sterlingbarmcr.com,,Bar
Rondo Bar ,"199–206 High Holborn, London WC1V 7BD",,https://thehoxton.com/holborn/rondo,,Bar 
KOL,"9 Seymour Street, Marylebone, London W1H 7BA ",,https://kolrestaurant.com/ ,,Restaurant
Burgundy Wines,"Unit 21 Newbrook Business Park, Pound Lane, Upper Beeding, West Sussex BN44 3JD ",,https://burgundywines.co.uk/ ,,Retail / Wholesaler
Din Tai Fung ,"5 Henrietta Street, Covent Garden, London WC2E 8PS ",,https://dintaifung-uk.com/ ,,Restaurant
Essen General Stores,"103a High Road, Beeston, Nottingham NG9 2LH. ",,https://www.essen-generalstore.co.uk/,,Retail 
Hausu,"11A Station Way, Peckham Rye Station, London SE15 4RX. ",,https://www.hausulondon.co.uk/,,Bar
Teatro Hall,"61 New Broadway, London W5 5AH",,https://www.teatrohall.co.uk,,Bar / Events Space
Serata Hall,"207 Old Street, London EC1V 9NR",,https://www.seratahall.com,,Bar / Events Space
